filepath	current_header	Function	Description	Example	Result	Operator	Specifier	Synonyms
docs\sql\functions\nested.md 	 Struct Functions	 `struct_pack(`*`name := any`*`, ...)` 	 Create a `STRUCT` containing the argument values. The entry name will be the bound variable name. 	 `struct_pack(i := 4, s := 'string')` 	 `{'i': 3, 's': 'string'}`			
docs\sql\functions\nested.md 	 Map Functions	 `element_at(`*`map, key`*`)` 	 Return a list containing the value for a given key or an empty list if the key is not contained in the map. The type of the key provided in the second parameter must match the type of the map's keys else an error is returned. 	 `element_at(map([100, 5], [42, 43]),100);` 	 `[42]`			
docs\sql\functions\nested.md 	 Map Functions	 `cardinality(`*`map`*`)` 	 Return the size of the map (or the number of entries in the map). 	 `cardinality( map([4, 2], ['a', 'b']) );` 	 `2`			
docs\sql\functions\nested.md 	 Map Functions	 `map()` 	 Returns an empty map. 	 `map()` 	 `{}`			
docs\sql\functions\numeric.md 	 Numeric Operators		 subtraction 	 `2 - 3` 	-1	 `-` 		
docs\sql\functions\numeric.md 	 Numeric Operators		 multiplication 	 `2 * 3` 	6	 `*` 		
docs\sql\functions\numeric.md 	 Numeric Operators		 division 	 `4 / 2` 	2	 `/` 		
docs\sql\functions\numeric.md 	 Numeric Operators		 modulo (remainder) 	 `5 % 4` 	1	 `%` 		
docs\sql\functions\numeric.md 	 Numeric Operators		 bitwise AND 	 `91 & 15` 	11	 `&` 		
docs\sql\functions\numeric.md 	 Numeric Operators		 bitwise shift left 	 `1 << 4` 	16	 `<<` 		
docs\sql\functions\numeric.md 	 Numeric Operators		 bitwise shift right 	 `8 >> 2` 	2	 `>>` 		
docs\sql\functions\numeric.md 	 Numeric Functions	 `acos(x)` 	 computes the arccosine of x 	 `acos(0.5)` 	 1.0471975511965976			
docs\sql\functions\numeric.md 	 Numeric Functions	 `asin(x)` 	 computes the arcsine of x 	 `asin(0.5)` 	 0.5235987755982989			
docs\sql\functions\numeric.md 	 Numeric Functions	 `atan(x)` 	 computes the arctangent of x 	 `atan(0.5)` 	 0.4636476090008061			
docs\sql\functions\numeric.md 	 Numeric Functions	 `atan2(x, y)` 	 computes the arctangent (x, y) 	 `atan2(0.5, 0.5)` 	 0.7853981633974483			
docs\sql\functions\numeric.md 	 Numeric Functions	 `bit_count(x)` 	 returns the number of bits that are set 	 `bit_count(31)` 	 5			
docs\sql\functions\numeric.md 	 Numeric Functions	 `cbrt(x)` 	 returns the cube root of the number 	 `cbrt(8)` 	 2			
docs\sql\functions\numeric.md 	 Numeric Functions	 `ceil(x)` 	 rounds the number up 	 `ceil(17.4)` 	 18			
docs\sql\functions\numeric.md 	 Numeric Functions	 `chr(x)` 	 returns a character which is corresponding the the ASCII code value or Unicode code point 	 `chr(65)` 	 A			
docs\sql\functions\numeric.md 	 Numeric Functions	 `cos(x)` 	 computes the cosine of x 	 `cos(90)` 	 -0.4480736161291701			
docs\sql\functions\numeric.md 	 Numeric Functions	 `cot(x)` 	 computes the cotangent of x 	 `cot(0.5)` 	 1.830487721712452			
docs\sql\functions\numeric.md 	 Numeric Functions	 `degrees(x)` 	 converts radians to degrees 	 `degrees(pi())` 	 180			
docs\sql\functions\numeric.md 	 Numeric Functions	 `floor(x)` 	 rounds the number down 	 `floor(17.4)` 	 17			
docs\sql\functions\numeric.md 	 Numeric Functions	 `greatest(x1, x2, ...)` 	 selects the largest value 	 `greatest(3, 2, 4, 4)` 	 4			
docs\sql\functions\numeric.md 	 Numeric Functions	 `least(x1, x2, ...)` 	 selects the smallest value 	 `least(3, 2, 4, 4)` 	 2			
docs\sql\functions\numeric.md 	 Numeric Functions	 `ln(x)` 	 computes the natural logarithm of *x* 	 `ln(2)` 	 0.693			
docs\sql\functions\numeric.md 	 Numeric Functions	 `log(x)` 	 computes the 10-log of *x* 	 `log(100)` 	 2			
docs\sql\functions\numeric.md 	 Numeric Functions	 `log2(x)` 	 computes the 2-log of *x* 	 `log2(8)` 	 3			
docs\sql\functions\numeric.md 	 Numeric Functions	 `pi()` 	 returns the value of pi 	 `pi()` 	 3.141592653589793			
docs\sql\functions\numeric.md 	 Numeric Functions	 `pow(x, y)` 	 computes x to the power of y 	 `pow(2, 3)` 	 8			
docs\sql\functions\numeric.md 	 Numeric Functions	 `radians(x)` 	 converts degrees to radians 	 `radians(90)` 	 1.5707963267948966			
docs\sql\functions\numeric.md 	 Numeric Functions	 `random()` 	 returns a random number between 0 and 1 	 `random()` 	 ...			
docs\sql\functions\numeric.md 	 Numeric Functions	 `round(v numeric, s int)` 	 round to *s* decimal places 	 `round(42.4332, 2)` 	 42.43			
docs\sql\functions\numeric.md 	 Numeric Functions	 `setseed(x)` 	 sets the seed to be used for the random function 	 `setseed(0.42)` 				
docs\sql\functions\numeric.md 	 Numeric Functions	 `sin(x)` 	 computes the sin of x 	 `sin(90)` 	 0.8939966636005579			
docs\sql\functions\numeric.md 	 Numeric Functions	 `sign(x)` 	 returns the sign of x as -1, 0 or 1 	 `sign(-349)` 	 -1			
docs\sql\functions\numeric.md 	 Numeric Functions	 `sqrt(x)` 	 returns the square root of the number 	 `sqrt(9)` 	 3			
docs\sql\functions\numeric.md 	 Numeric Functions	 `xor(x)` 	 bitwise XOR 	 `xor(17, 5)` 	 20			
docs\sql\functions\numeric.md 	 Numeric Functions	 `tan(x)` 	 computes the tangent of x 	 `tan(90)` 	 -1.995200412208242			
docs\sql\functions\patternmatching.md 	 Regular Expressions	 `regexp_replace(`*`string`*`, `*`pattern`*`, `*`replacement`*`)`; 	 if *string* contains the regexp *pattern*, replaces the matching part with *replacement*					
docs\sql\functions\patternmatching.md 	 Regular Expressions	 `regexp_extract(`*`string`*`, `*`pattern `*`[, `*`idx`*`])`; 	 if *string* contains the regexp *pattern*, returns the capturing group specified by optional parameter *idx*					
docs\sql\functions\time.md 	 Time Operators		 subtraction of an `INTERVAL` 	 `TIME '06:02:03' - INTERVAL 5 HOUR'` 	 01:02:03	 `-` 		
docs\sql\functions\time.md 	 Time Functions	 `date_diff(`*`part`*`, `*`starttime`*`, `*`endtime`*`)` 	 The number of [partition](/docs/sql/functions/datepart) boundaries between the times 	 `date_diff('hour', TIME '01:02:03', TIME '06:01:03')` 	5			
docs\sql\functions\time.md 	 Time Functions	 `date_part(`*`part`*`, `*`time`*`)` 	 Get [subfield](/docs/sql/functions/datepart) (equivalent to *extract*) 	 `date_part('minute', TIME '14:21:13')` 	21			
docs\sql\functions\time.md 	 Time Functions	 `date_sub(`*`part`*`, `*`starttime`*`, `*`endtime`*`)` 	 The number of complete [partitions](/docs/sql/functions/datepart) between the times 	 `date_sub('hour', TIME '01:02:03', TIME '06:01:03')` 	4			
docs\sql\functions\time.md 	 Time Functions	 `extract(`*`part`* `from` *`time`*`)` 	 Get subfield from a date 	 `extract('hour' FROM TIME '14:21:13')` 	14			
docs\sql\functions\timestamp.md 	 Timestamp Operators		 subtraction of `TIMESTAMP`s 	 `TIMESTAMP '1992-03-27' - TIMESTAMP '1992-03-22'` 	 `5 days`	 `-` 		
docs\sql\functions\timestamp.md 	 Timestamp Operators		 subtraction of an `INTERVAL` 	 `TIMESTAMP '1992-03-27 01:02:03' - INTERVAL 5 DAY` 	 `1992-03-22 01:02:03`	 `-` 		
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `age(`*`timestamp`*`)` 	 Subtract from current_date 	 `age(TIMESTAMP '1992-09-20')` 	 `29 years 1 month 27 days 12:39:00.844`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `century(`*`timestamp`*`)` 	 Extracts the century of a timestamp 	 `century(TIMESTAMP '1992-03-22')` 	 `20`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `current_timestamp` 	 Current date and time (start of current transaction) 	 				
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `date_diff(`*`part`*`, `*`startdate`*`, `*`enddate`*`)` 	 The number of [partition](/docs/sql/functions/datepart) boundaries between the timestamps 	 `date_diff('hour', TIMESTAMP '1992-09-30 23:59:59', TIMESTAMP '1992-10-01 01:58:00')` 	 `2`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `date_part(`*`part`*`, `*`timestamp`*`)` 	 Get [subfield](/docs/sql/functions/datepart) (equivalent to *extract*) 	 `date_part('minute', TIMESTAMP '1992-09-20 20:38:40')` 	 `38`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `date_sub(`*`part`*`, `*`startdate`*`, `*`enddate`*`)` 	 The number of complete [partitions](/docs/sql/functions/datepart) between the timestamps 	 `date_sub('hour', TIMESTAMP '1992-09-30 23:59:59', TIMESTAMP '1992-10-01 01:58:00')` 	 `1`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `date_trunc(`*`part`*`, `*`timestamp`*`)` 	 Truncate to specified [precision](/docs/sql/functions/datepart) 	 `date_trunc('hour', TIMESTAMP '1992-09-20 20:38:40')` 	 `1992-09-20 20:00:00`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `dayname(`*`timestamp`*`)` 	 The (English) name of the weekday 	 `dayname(TIMESTAMP '1992-03-22')` 	 `Sunday`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `epoch_ms(ms)` 	 Converts ms since epoch to a timestamp 	 `epoch_ms(701222400000)` 	 `1992-03-22 00:00:00`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `extract(`*`field`* `from` *`timestamp`*`)` 	 Get [subfield](/docs/sql/functions/datepart) from a timestamp 	 `extract('hour' FROM TIMESTAMP '1992-09-20 20:38:48')` 	 `20`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `greatest(`*`timestamp`*`, `*`timestamp`*`)` 	 The later of two timestamps 	 `greatest(TIMESTAMP '1992-09-20 20:38:48', TIMESTAMP '1992-03-22 01:02:03.1234')` 	 `1992-09-20 20:38:48`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `last_day(`*`timestamp`*`)` 	 The last day of the month. 	 `last_day(TIMESTAMP '1992-03-22 01:02:03.1234')` 	 `1992-03-31`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `least(`*`timestamp`*`, `*`timestamp`*`)` 	 The earlier of two timestamps 	 `least(TIMESTAMP '1992-09-20 20:38:48', TIMESTAMP '1992-03-22 01:02:03.1234')` 	 `1992-03-22 01:02:03.1234`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `monthname(`*`timestamp`*`)` 	 The (English) name of the month. 	 `monthname(TIMESTAMP '1992-09-20')` 	 `September`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `now()` 	 Current date and time (start of current transaction) 	 				
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `strftime(timestamp, format)` 	 Converts timestamp to string according to the [format string](/docs/sql/functions/dateformat) 	 `strftime(timestamp '1992-01-01 20:38:40', '%a, %-d %B %Y - %I:%M:%S %p')` 	 `Wed, 1 January 1992 - 08:38:40 PM`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `strptime(text, format)` 	 Converts string to timestamp according to the [format string](/docs/sql/functions/dateformat) 	 `strptime('Wed, 1 January 1992 - 08:38:40 PM', '%a, %-d %B %Y - %I:%M:%S %p')` 	 `1992-01-01 20:38:40`			
docs\sql\functions\timestamp.md 	 Timestamp Functions	 `to_timestamp(`*`sec`*`)` 	 Converts sec since epoch to a timestamp 	 `to_timestamp(701222400)` 	 `1992-03-22 00:00:00`			
docs\sql\functions\timestamp.md 	 Timestamp Table Functions	 `range(`*`timestamp`*`, `*`timestamp`*`, `*`interval`*`)` 	 Generate a table of timestamps in the half open range, stepping by the interval 	 `range(TIMESTAMP '2001-04-10', TIMESTAMP '2001-04-11', INTERVAL 30 MINUTE)`				
